x_index,y_index,x,y,source_u_periodic,source_v,source_exact,periodic_exact,periodic_qtt,periodic_abs_error,antiperiodic_exact,antiperiodic_qtt,antiperiodic_abs_error,open_exact,open_qtt,open_abs_error
1,1,0,0,0,0,0.5000000000000000,0.5000000000000000,0.4999999999999997,0.0000000000000003,0.5000000000000000,0.4999999999999997,0.0000000000000003,0.5000000000000000,0.4999999999999997,0.0000000000000003
1,2,0,1,1,1,0.5463649438401306,0.6681806729792746,0.6681806729792740,0.0000000000000007,0.6681806729792746,0.6681806729792740,0.0000000000000007,0.6681806729792746,0.6681806729792740,0.0000000000000007
1,3,0,2,2,2,0.5860634982928876,0.8243755204726440,0.8243755204726435,0.0000000000000004,0.8243755204726440,0.8243755204726435,0.0000000000000004,0.8243755204726440,0.8243755204726435,0.0000000000000004
1,4,0,3,3,3,0.6173627261210050,0.9620074584612510,0.9620074584612508,0.0000000000000002,0.9620074584612510,0.9620074584612508,0.0000000000000002,0.9620074584612510,0.9620074584612508,0.0000000000000002
1,5,0,4,4,4,0.6387164615522802,1.0755930817485548,1.0755930817485542,0.0000000000000007,1.0755930817485548,1.0755930817485542,0.0000000000000007,1.0755930817485548,1.0755930817485542,0.0000000000000007
1,6,0,5,5,5,0.6488280352498138,1.1611535506682245,1.1611535506682240,0.0000000000000004,1.1611535506682245,1.1611535506682240,0.0000000000000004,1.1611535506682245,1.1611535506682240,0.0000000000000004
1,7,0,6,6,6,0.6467046892790943,1.2165013592716825,1.2165013592716825,0.0000000000000000,1.2165013592716825,1.2165013592716825,0.0000000000000000,1.2165013592716825,1.2165013592716825,0.0000000000000000
1,8,0,7,7,7,0.6317015467821760,1.2413788269321027,1.2413788269321029,0.0000000000000002,1.2413788269321027,1.2413788269321029,0.0000000000000002,1.2413788269321027,1.2413788269321029,0.0000000000000002
1,9,0,8,8,8,0.6035533905932737,1.2374368670764582,1.2374368670764582,0.0000000000000000,1.2374368670764582,1.2374368670764582,0.0000000000000000,1.2374368670764582,1.2374368670764582,0.0000000000000000
1,10,0,9,9,9,0.5623929621826304,1.2080562796510592,1.2080562796510588,0.0000000000000004,1.2080562796510592,1.2080562796510588,0.0000000000000004,1.2080562796510592,1.2080562796510588,0.0000000000000004
